strategy_name,total_patients_processed,mean_wait_time_minutes,max_wait_time_minutes,nurse_utilization_percent,machine_utilization_percent,avg_session_time_minutes,sessions_truncated_count,failed_patients_count
FIXED,16,40.8125,119.0,0.2222222222222222,0.6152777777777778,226.875,9,0
FIFO,18,33.5,60.0,0.4444444444444444,0.6225,229.5,6,2
FIXED,18,46.0,137.0,0.3333333333333333,0.4643055555555556,227.0,6,6
FIFO,16,3.125,14.0,0.2222222222222222,0.5847222222222223,240.0,0,0
FIXED,16,58.8125,115.0,0.2222222222222222,0.6363888888888889,220.1875,11,0
FIFO,17,18.352941176470587,28.0,0.3148148148148148,0.6455555555555555,239.05882352941177,2,0
FIXED,17,59.35294117647059,138.0,0.3148148148148148,0.66125,224.94117647058823,8,0
FIFO,18,10.61111111111111,21.0,0.3333333333333333,0.6675,238.66666666666666,3,0
FIXED,18,59.266666666666666,127.0,0.2777777777777778,0.6033333333333334,221.0,9,3
FIFO,17,2.0,12.0,0.2361111111111111,0.6510233918128655,240.0,0,0
FIXED,17,35.9375,99.0,0.2222222222222222,0.652046783625731,235.75,5,1
FIFO,16,5.0625,23.0,0.2222222222222222,0.5823611111111111,239.75,1,0
FIXED,16,39.8125,96.0,0.2222222222222222,0.6227777777777778,229.875,8,0
FIFO,17,3.0588235294117645,16.0,0.2361111111111111,0.6170833333333333,239.76470588235293,1,0
FIXED,17,38.411764705882355,117.0,0.2361111111111111,0.65625,232.47058823529412,7,0
FIFO,17,2.7058823529411766,15.0,0.2361111111111111,0.6194444444444445,239.64705882352942,1,0
FIXED,17,39.294117647058826,106.0,0.2361111111111111,0.6533333333333333,230.47058823529412,8,0
FIFO,16,29.0625,53.0,0.4444444444444444,0.6229166666666667,231.375,6,0
FIXED,16,62.0,144.0,0.3055555555555556,0.4533333333333333,226.9090909090909,6,5
FIFO,17,2.235294117647059,10.0,0.2361111111111111,0.6190277777777777,240.0,0,0
FIXED,17,63.1764705882353,131.0,0.2361111111111111,0.71,226.05882352941177,9,0
FIFO,17,6.0588235294117645,19.0,0.3148148148148148,0.6231944444444445,238.35294117647058,3,0
FIXED,17,57.75,130.0,0.2962962962962963,0.6233333333333333,219.1875,9,1
FIFO,18,2.0555555555555554,10.0,0.25,0.6538888888888889,239.5,1,0
FIXED,18,62.5,137.0,0.25,0.7058333333333333,219.94444444444446,11,0
FIFO,18,8.055555555555555,16.0,0.25,0.6584722222222222,240.0,0,0
FIXED,18,50.55555555555556,140.0,0.25,0.7147222222222223,231.55555555555554,9,0
FIFO,17,37.25,76.0,0.4444444444444444,0.6327777777777778,230.625,6,1
FIXED,17,59.18181818181818,129.0,0.3055555555555556,0.44305555555555554,223.9090909090909,6,6
FIFO,16,4.4375,14.0,0.2222222222222222,0.5826388888888889,240.0,0,0
FIXED,16,54.1875,112.0,0.2222222222222222,0.63125,230.125,8,0
FIFO,18,19.833333333333332,40.0,0.3333333333333333,0.7669753086419753,238.16666666666666,3,0
FIXED,18,47.6875,130.0,0.2962962962962963,0.7083333333333334,229.625,7,2
FIFO,17,5.529411764705882,23.0,0.3148148148148148,0.62125,237.58823529411765,3,0
FIXED,17,48.46153846153846,108.0,0.24074074074074073,0.5006944444444444,223.15384615384616,9,4
FIFO,17,3.0588235294117645,11.0,0.2361111111111111,0.62,239.52941176470588,1,0
FIXED,17,55.0,111.0,0.2361111111111111,0.6777777777777778,219.76470588235293,11,0
FIFO,17,35.875,76.0,0.4444444444444444,0.6369444444444444,231.0,6,1
FIXED,17,66.22222222222223,125.0,0.25,0.3675,222.66666666666666,6,8
